StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Rating:A,Comment:A_1,Rating:B,Comment:B_1,HKU_email,Account_Type,Academic_Year,Prof_Course,Prof_Department,Prof_Name,ProfID,Type,Block,Description,Full_Name,Group,User_Name
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Your Response,Comment,Your Response,Comment,HKU_email,Account_Type,Academic_Year,Prof_Course,Prof_Department,Prof_Name,ProfID,Type,Block,Description,Full_Name,Group,User_Name
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID4""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16_1""}","{""ImportId"":""HKU_email""}","{""ImportId"":""Account_Type""}","{""ImportId"":""Academic_Year""}","{""ImportId"":""Prof_Course""}","{""ImportId"":""Prof_Department""}","{""ImportId"":""Prof_Name""}","{""ImportId"":""ProfID""}","{""ImportId"":""Type""}","{""ImportId"":""Block""}","{""ImportId"":""Description""}","{""ImportId"":""Full_Name""}","{""ImportId"":""Group""}","{""ImportId"":""User_Name""}"
4/8/2023 1:38,4/8/2023 1:39,IP Address,147.8.169.111,100,19,TRUE,4/8/2023 1:39,R_W2vwZ0m3e3vWzWF,,,hyc1@hku.hk,3,22.2908,114.1501,anonymous,EN,,,Strong Disagree,Place Holder,hyc1@hku.hk,staff,2022-2023,C1,De3,Dr.C,3,E-learning,A,Dum,Harry Cheung,B,hyc1
4/8/2023 1:38,4/8/2023 1:39,IP Address,147.8.169.111,100,19,TRUE,4/8/2023 1:39,R_W2vwZ0m3e3vWzWF,,,hyc1@hku.hk,3,22.2908,114.1501,anonymous,EN,,,Strong Disagree,Place Holder,hyc1@hku.hk,staff,2022-2023,C1,De3,Dr.C,3,E-learning,A,Dum,Harry Cheung,B,hyc1
4/8/2023 1:38,4/8/2023 1:39,IP Address,147.8.169.111,100,19,TRUE,4/8/2023 1:39,R_W2vwZ0m3e3vWzWF,,,hyc1@hku.hk,3,22.2908,114.1501,anonymous,EN,,,Strong Agree,Place Holder,hyc1@hku.hk,staff,2022-2023,C1,De3,Dr.C,3,E-learning,A,Dum,Harry Cheung,B,hyc1
4/8/2023 1:38,4/8/2023 1:39,IP Address,147.8.169.111,100,19,TRUE,4/8/2023 1:39,R_W2vwZ0m3e3vWzWF,,,hyc1@hku.hk,3,22.2908,114.1501,anonymous,EN,,,Strong Agree,Place Holder,hyc1@hku.hk,staff,2022-2023,C1,De3,Dr.B,2,E-learning,A,Dum,Harry Cheung,B,hyc1
4/8/2023 1:38,4/8/2023 1:39,IP Address,147.8.169.111,100,19,TRUE,4/8/2023 1:39,R_W2vwZ0m3e3vWzWF,,,hyc1@hku.hk,3,22.2908,114.1501,anonymous,EN,,,Disagree,Place Holder,hyc1@hku.hk,staff,2022-2023,C1,De3,Dr.B,2,E-learning,A,Dum,Harry Cheung,B,hyc1
4/8/2023 1:38,4/8/2023 1:39,IP Address,147.8.169.111,100,19,TRUE,4/8/2023 1:39,R_W2vwZ0m3e3vWzWF,,,hyc1@hku.hk,3,22.2908,114.1501,anonymous,EN,,,Agree,Place Holder,hyc1@hku.hk,staff,2022-2023,C1,De3,Dr.B,2,E-learning,A,Dum,Harry Cheung,B,hyc1
4/8/2023 1:38,4/8/2023 1:39,IP Address,147.8.169.111,100,19,TRUE,4/8/2023 1:39,R_W2vwZ0m3e3vWzWF,,,hyc1@hku.hk,3,22.2908,114.1501,anonymous,EN,,,Strong Agree,Place Holder,hyc1@hku.hk,staff,2022-2023,C1,De2,Dr.B,2,E-learning,A,Dum,Harry Cheung,B,hyc1
4/8/2023 1:38,4/8/2023 1:39,IP Address,147.8.169.111,100,19,TRUE,4/8/2023 1:39,R_W2vwZ0m3e3vWzWF,,,hyc1@hku.hk,3,22.2908,114.1501,anonymous,EN,,,Disagree,Place Holder,hyc1@hku.hk,staff,2022-2023,C1,De2,Dr.B,2,E-learning,A,Dum,Harry Cheung,B,hyc1
4/8/2023 1:38,4/8/2023 1:39,IP Address,147.8.169.111,100,19,TRUE,4/8/2023 1:39,R_W2vwZ0m3e3vWzWF,,,hyc1@hku.hk,3,22.2908,114.1501,anonymous,EN,,,Agree,Place Holder,hyc1@hku.hk,staff,2022-2023,C1,De2,Dr.B,2,E-learning,A,Dum,Harry Cheung,B,hyc1
4/8/2023 1:38,4/8/2023 1:39,IP Address,147.8.169.111,100,19,TRUE,4/8/2023 1:39,R_W2vwZ0m3e3vWzWF,,,hyc1@hku.hk,3,22.2908,114.1501,anonymous,EN,,,Strong Agree,Place Holder,hyc1@hku.hk,staff,2022-2023,C1,De2,Dr.B,2,Physical,A,Dum,Harry Cheung,B,hyc1
4/8/2023 1:38,4/8/2023 1:39,IP Address,147.8.169.111,100,19,TRUE,4/8/2023 1:39,R_W2vwZ0m3e3vWzWF,,,hyc1@hku.hk,3,22.2908,114.1501,anonymous,EN,,,Disagree,Place Holder,hyc1@hku.hk,staff,2022-2023,C1,De2,Dr.B,2,Physical,A,Dum,Harry Cheung,B,hyc1
4/8/2023 1:38,4/8/2023 1:39,IP Address,147.8.169.111,100,19,TRUE,4/8/2023 1:39,R_W2vwZ0m3e3vWzWF,,,hyc1@hku.hk,3,22.2908,114.1501,anonymous,EN,,,Agree,Place Holder,hyc1@hku.hk,staff,2022-2023,C1,De2,Dr.B,2,Physical,A,Dum,Harry Cheung,B,hyc1
